"課程
Course","資訊
Infoormation","備註
note","通識
GE","選上機率
Probability","重設排序
Reset",系所 Department,課程 Course ID,教室大樓 Building,時間 Time,設課語言 Language,加簽 Extra Enrollment
"KEE 200900
教育社會學
Sociology of Education","<人限 Limit / 新生保留 New Only>
55 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
13 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
蘇永明	SHU, YUNG-MING
李孟翰	LI, MENG-HAN
<教室 Room & 時間 Time>
Nanda南大2106	F3F4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
幼教學程(教育基礎課程).
<限制 Limitation>
幼教系大學部碩士班專班,幼教系在職專班大學部碩士班專班優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系110B必修
",-,-,,KEE,KEE 200900,Nanda南大,F3F4,中文 ZH,O 接受 Allowed
"KEE 201900
幼兒發展專題研究
Research on Child Development","<人限 Limit / 新生保留 New Only>
45 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
29 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
陳湘淳	CHEN, HSIANG-CHUN
<教室 Room & 時間 Time>
Nanda南大1405	W2W3W4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
16週課程
<限制 Limitation>
幼教系優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>
心智、大腦與學習(二)
<學程 Program>

<必選修 Required or Elective>
幼教系110B選修
",-,-,,KEE,KEE 201900,Nanda南大,W2W3W4,中文 ZH,O 接受 Allowed
"KEE 202400
專題研究一
Undergraduate Research (I)","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
Nanda南大1405	W2W3W4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
1.指導教授限本系教師。2.需填專題研究指導教授申請書並請指導教授簽名，送系辦留存。
<限制 Limitation>
限幼教系大學部
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系110B選修
",-,-,,KEE,KEE 202400,Nanda南大,W2W3W4,中文 ZH,O 接受 Allowed
"KEE 300100
幼兒園課室經營
Classroom Management in Preschool","<人限 Limit / 新生保留 New Only>
50 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
6 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
鍾欣穎	CHUNG, SING-YIING
<教室 Room & 時間 Time>
Nanda南大9105	R3R4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
幼教學程(教保專業知能課程)；16週課程
<限制 Limitation>
限幼教系大學部碩士班專班,幼教系在職專班大學部碩士班專班
<擋修 Prerequisite>

<專長 Speciality>
幼教專業知能(二)/教保專業知能(一)
<學程 Program>

<必選修 Required or Elective>
幼教系109B必修
",-,-,,KEE,KEE 300100,Nanda南大,R3R4,中文 ZH,O 接受 Allowed
"KEE 300300
幼兒健康與安全
Health and Safety for Young Children","<人限 Limit / 新生保留 New Only>
48 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
9 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
余敏芝	YU,MIIN-JY
鐘梅菁	CHUNG, MEI-CHING
<教室 Room & 時間 Time>
Nanda南大N201	M7M8M9
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
幼教學程(教保專業知能課程)；16週課程
<限制 Limitation>
限幼教系,幼教系在職專班
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 幼兒教保概論-成績需C-以上幼兒教保概論-成績需C-以上上述條件任選一科，而且幼兒發展-成績需C-以上幼兒發展-成績需C-以上上述條件任選一科，則不擋修。
<專長 Speciality>
幼教專業知能(二)/教保專業知能(一)
<學程 Program>

<必選修 Required or Elective>
幼教系109B必修
",-,-,,KEE,KEE 300300,Nanda南大,M7M8M9,中文 ZH,O 接受 Allowed
"KEE 300600
幼兒社會探究與情緒表達
Social Studies and Emotional Expressions for Young Children","<人限 Limit / 新生保留 New Only>
45 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
6 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
周育如	CHOU, YU-JU
<教室 Room & 時間 Time>
Nanda南大1405	F3F4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
幼教學程(專門課程)；16週課程
<限制 Limitation>
幼教系,幼教系在職專班優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系109B選修
",-,-,,KEE,KEE 300600,Nanda南大,F3F4,中文 ZH,O 接受 Allowed
"KEE 301000
各國學前教育
Early Childhood Education in Various Countries","<人限 Limit / 新生保留 New Only>
45 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
19 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
曹亞倫	TSAO, YA-LUN
<教室 Room & 時間 Time>
Nanda南大1405	T2T3T4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
幼教系優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系109B選修
",-,-,,KEE,KEE 301000,Nanda南大,T2T3T4,中文 ZH,O 接受 Allowed
"KEE 301700
嬰幼兒活動設計與環境規劃
Curriculum Design and Learning Environment for Infants and Toddlers","<人限 Limit / 新生保留 New Only>
45 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
16 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
余敏芝	YU,MIIN-JY
<教室 Room & 時間 Time>
Nanda南大N201	M2M3M4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
幼教系優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系109B選修
",-,-,,KEE,KEE 301700,Nanda南大,M2M3M4,中文 ZH,O 接受 Allowed
"KEE 302000
幼兒多元文化教育
Multicultural Education in Early Childhood","<人限 Limit / 新生保留 New Only>
48 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
22 / -
<學分數 Credit unit>
2
<授課語言 Language>
英文 EN
<教師 Instructor>
辛靜婷	HSIN, CHING-TING
<教室 Room & 時間 Time>
Nanda南大N201	R5R6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
幼教學程教育方法、雙語教學師資職前培育課程(申請後所修始得採認為雙語教學師資職前課程)；16週
<限制 Limitation>
限幼教系,幼教系在職專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>
(跨領域)世界南島暨原住民族學分學程
<必選修 Required or Elective>
幼教系109B選修
",-,-,,KEE,KEE 302000,Nanda南大,R5R6,英文 EN,O 接受 Allowed
"KEE 302400
專題研究三
Undergraduate Research (III)","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
Nanda南大N201	R5R6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
1.指導教授限本系教師。2.需填專題研究指導教授申請書並請指導教授簽名，送系辦留存。
<限制 Limitation>
限幼教系
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系109B選修
",-,-,,KEE,KEE 302400,Nanda南大,R5R6,中文 ZH,O 接受 Allowed
"KEE 400100
幼兒劇專題製作
Children's Theatre: Special Production","<人限 Limit / 新生保留 New Only>
50 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
17 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
劉淑英	LIU, SHU-YING
<教室 Room & 時間 Time>
Nanda南大9220	WnW5W6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限幼教系
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系108B必修
",-,-,,KEE,KEE 400100,Nanda南大,WnW5W6,中文 ZH,O 接受 Allowed
"KEE 400200
教保專業倫理
Professional Ethics of Early Childhood Education and Care","<人限 Limit / 新生保留 New Only>
48 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
陳文玲	CHEN, WEN-LING
<教室 Room & 時間 Time>
Nanda南大N201	M5M6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
幼教學程(教保專業知能課程)；16週課程
<限制 Limitation>
限幼教系大學部碩士班專班,幼教系在職專班大學部碩士班專班
<擋修 Prerequisite>

<專長 Speciality>
幼教專業知能(二)/教保專業知能(一)
<學程 Program>

<必選修 Required or Elective>
幼教系108B必修
",-,-,,KEE,KEE 400200,Nanda南大,M5M6,中文 ZH,O 接受 Allowed
"KEE 400301
幼兒園教保實習
Practicum in Preschool and Kindergarten","<人限 Limit / 新生保留 New Only>
40 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
34 / -
<學分數 Credit unit>
4
<授課語言 Language>
中文 ZH
<教師 Instructor>
陳文玲	CHEN, WEN-LING
<教室 Room & 時間 Time>
Nanda南大2205	T1T2T3T4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
幼教學程(教保專業知能課程)；先修科目請至系網頁參閱入學年度課程科目表；16週課程
<限制 Limitation>
限幼教系大學部碩士班專班,幼教系在職專班大學部碩士班專班
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 幼兒園教材教法II-成績需C-以上幼兒園課室經營-成績需C-以上幼兒健康與安全-成績需C-以上幼兒園教材教法I-成績需C-以上上述條件一定要有，則不擋修。
<專長 Speciality>
教保專業知能(一)
<學程 Program>

<必選修 Required or Elective>
幼教系108B必修/幼教系108BA必修
",-,-,,KEE,KEE 400301,Nanda南大,T1T2T3T4,中文 ZH,O 接受 Allowed
"KEE 400302
幼兒園教保實習
Practicum in Preschool and Kindergarten","<人限 Limit / 新生保留 New Only>
32 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
1 / -
<學分數 Credit unit>
4
<授課語言 Language>
中文 ZH
<教師 Instructor>
張菀真	CHANG, WAN-CHEN
<教室 Room & 時間 Time>
Nanda南大2204	T1T2T3T4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
幼教學程(教保專業知能課程)；先修科目請至系網頁參閱入學年度課程科目表；16週課程
<限制 Limitation>
限幼教系大學部碩士班專班,幼教系在職專班大學部碩士班專班
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 幼兒園教材教法II-成績需C-以上幼兒園課室經營-成績需C-以上幼兒健康與安全-成績需C-以上幼兒園教材教法I-成績需C-以上上述條件一定要有，則不擋修。
<專長 Speciality>
教保專業知能(一)
<學程 Program>

<必選修 Required or Elective>
幼教系108B必修/幼教系108BA必修
",-,-,,KEE,KEE 400302,Nanda南大,T1T2T3T4,中文 ZH,O 接受 Allowed
"KEE 400700
器樂
Instrumental Music","<人限 Limit / 新生保留 New Only>
50 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
18 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
張覺文	CHANG, JUIE-WEN
<教室 Room & 時間 Time>
Nanda南大9223	W2W3W4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限幼教系大學部
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系108B選修
",-,-,,KEE,KEE 400700,Nanda南大,W2W3W4,中文 ZH,O 接受 Allowed
"KEE 401100
專題研究五
Undergraduate Research (Ⅴ)","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
Nanda南大9223	W2W3W4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
1.指導教授限本系教師。2.需填專題研究指導教授申請書並請指導教授簽名，送系辦留存。
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系108B選修
",-,-,,KEE,KEE 401100,Nanda南大,W2W3W4,中文 ZH,O 接受 Allowed
"KEE 401300
幼兒園英語融入教材教法
Integrated English Teaching Materials and Methods for Young Children","<人限 Limit / 新生保留 New Only>
50 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
17 / -
<學分數 Credit unit>
2
<授課語言 Language>
英文 EN
<教師 Instructor>
謝明芳	HSIEH, MING-FANG
<教室 Room & 時間 Time>
Nanda南大N102	R2R3
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
幼教學程(教育實踐)；雙語教學師資職前培育課程(申請後所修始得採計為雙語教學師資職前培育課程)；16週課程
<限制 Limitation>
限幼教系大學部碩士班專班,幼教系在職專班大學部碩士班專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系108B選修
",-,-,,KEE,KEE 401300,Nanda南大,R2R3,英文 EN,O 接受 Allowed
"KEE 500100
兒童發展研究
Advanced Studies in Child Development","<人限 Limit / 新生保留 New Only>
20 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
16 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
陳文玲	CHEN, WEN-LING
<教室 Room & 時間 Time>
Nanda南大N201	R2R3R4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
16週課程
<限制 Limitation>
限幼教系碩士班專班,幼教系在職專班碩士班專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系111M必修
",-,-,,KEE,KEE 500100,Nanda南大,R2R3R4,中文 ZH,O 接受 Allowed
"KEE 500200
幼兒教育課程與教學研究
Curriculum and Instruction in Early Childhood Education","<人限 Limit / 新生保留 New Only>
20 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
16 / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
劉淑英	LIU, SHU-YING
<教室 Room & 時間 Time>
Nanda南大1411	W7W8W9
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限幼教系碩士班專班,幼教系在職專班碩士班專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系111M必修
",-,-,,KEE,KEE 500200,Nanda南大,W7W8W9,英文 EN,O 接受 Allowed
"KEE 500300
教育統計
Educational Statistics","<人限 Limit / 新生保留 New Only>
18 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
16 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
孫良誠	SUN, LIANG-CHEN
<教室 Room & 時間 Time>
Nanda南大N207	M6M7M8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
16週課程
<限制 Limitation>
限幼教系碩士班專班,幼教系在職專班碩士班專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系111M必修
",-,-,,KEE,KEE 500300,Nanda南大,M6M7M8,中文 ZH,O 接受 Allowed
"KEE 500800
論文研究
Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
0
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
Nanda南大N207	M6M7M8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
不計入最低畢業應修學分數，碩二(含)以上必選！
<限制 Limitation>
限幼教系碩士班2年級3年級4年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系111M必修
",-,-,,KEE,KEE 500800,Nanda南大,M6M7M8,中文 ZH,O 接受 Allowed
"KEE 500900
學前特教專題研究
Early Childhood Special Education","<人限 Limit / 新生保留 New Only>
25 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
14 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
鐘梅菁	CHUNG, MEI-CHING
<教室 Room & 時間 Time>
Nanda南大N201	T2T3T4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
課程與教學組選修(碩一、碩二合開)；16週課程
<限制 Limitation>
限幼教系,幼教系在職專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系111M選修
",-,-,,KEE,KEE 500900,Nanda南大,T2T3T4,中文 ZH,O 接受 Allowed
"KEE 501400
多元文化教育與課程研究
Multicultural Education and Curriculum Studies","<人限 Limit / 新生保留 New Only>
18 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
15 / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
辛靜婷	HSIN, CHING-TING
<教室 Room & 時間 Time>
Nanda南大N207	T7T8T9
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
課程與教學組選修(碩一、碩二合開)；支援南島英語碩士學程
<限制 Limitation>
幼教系碩士班專班,幼教系在職專班碩士班專班優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>
(跨領域)世界南島暨原住民族學分學程
<必選修 Required or Elective>
幼教系111M選修
",-,-,,KEE,KEE 501400,Nanda南大,T7T8T9,英文 EN,O 接受 Allowed
"KEE 600100
論文研討
Seminar on Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
Nanda南大N207	T7T8T9
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
請自行洽指導教授
<限制 Limitation>
限幼教系
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系111M選修
",-,-,,KEE,KEE 600100,Nanda南大,T7T8T9,中文 ZH,O 接受 Allowed
"KEE 601800
幼兒語言發展專題研究
Language Development of Young Children","<人限 Limit / 新生保留 New Only>
18 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
9 / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
張菀真	CHANG, WAN-CHEN
<教室 Room & 時間 Time>
Nanda南大N207	R5R6R7
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
發展科學組選修(碩一、碩二合開)；16週課程
<限制 Limitation>
限幼教系,幼教系在職專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系111M選修
",-,-,,KEE,KEE 601800,Nanda南大,R5R6R7,英文 EN,O 接受 Allowed
"KEEN 500800
論文
Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
Nanda南大N207	R5R6R7
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
不計入最低畢業應修學分數，碩二(含)以上必選！
<限制 Limitation>
限幼教系在職專班專班2年級3年級4年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系在職專班111P必修
",-,-,,KEEN,KEEN 500800,Nanda南大,R5R6R7,中文 ZH,O 接受 Allowed
"KEEN 510100
幼兒教育課程與教學研究
Curriculum and Instruction in Early Childhood Education","<人限 Limit / 新生保留 New Only>
25 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
25 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
陳文玲	CHEN, WEN-LING
<教室 Room & 時間 Time>
Nanda南大N201	TaTbTc
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
16週課程
<限制 Limitation>
限幼教系在職專班專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系在職專班111P必修
",-,-,,KEEN,KEEN 510100,Nanda南大,TaTbTc,中文 ZH,O 接受 Allowed
"KEEN 510200
兒童發展研究
Advanced Studies in Child Development","<人限 Limit / 新生保留 New Only>
25 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
25 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
陳湘淳	CHEN, HSIANG-CHUN
<教室 Room & 時間 Time>
Nanda南大N201	WaWbWc
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
16週課程
<限制 Limitation>
限幼教系在職專班專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系在職專班111P必修
",-,-,,KEEN,KEEN 510200,Nanda南大,WaWbWc,中文 ZH,O 接受 Allowed
"KEEN 510300
教育統計
Educational Statistics","<人限 Limit / 新生保留 New Only>
18 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
6 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
孫良誠	SUN, LIANG-CHEN
<教室 Room & 時間 Time>
Nanda南大N207	TaTbTc
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
16 週課程
<限制 Limitation>
限幼教系在職專班專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系在職專班111P必修
",-,-,,KEEN,KEEN 510300,Nanda南大,TaTbTc,中文 ZH,O 接受 Allowed
"KEEN 600100
論文研討
Seminar on Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
Nanda南大N207	TaTbTc
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
請自行洽指導教授
<限制 Limitation>
限幼教系在職專班專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系在職專班111P選修
",-,-,,KEEN,KEEN 600100,Nanda南大,TaTbTc,中文 ZH,O 接受 Allowed
"KEEN 601000
幼兒田野研究
Field Work Research with Young Children","<人限 Limit / 新生保留 New Only>
25 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
12 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
謝明芳	HSIEH, MING-FANG
<教室 Room & 時間 Time>
Nanda南大N201	MaMbMc
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
16 週課程；碩專一、碩專二合開
<限制 Limitation>
限幼教系在職專班專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系在職專班111P選修
",-,-,,KEEN,KEEN 601000,Nanda南大,MaMbMc,中文 ZH,O 接受 Allowed
"KEEN 601800
幼兒語言發展專題研究
Language Development of Young Children","<人限 Limit / 新生保留 New Only>
25 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
15 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
張菀真	CHANG, WAN-CHEN
<教室 Room & 時間 Time>
Nanda南大N201	RaRbRc
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
16 週課程；碩專一、碩專二合開
<限制 Limitation>
限幼教系在職專班專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
幼教系在職專班111P選修
",-,-,,KEEN,KEEN 601800,Nanda南大,RaRbRc,中文 ZH,O 接受 Allowed
"KEL 143000
戶外探索教學
Instruction of Outdoor Adventure","<人限 Limit / 新生保留 New Only>
20 / 20
<剩餘名額 Spots AVL / 待亂數 Pending>
20 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
成虹飛	CHERNG, HORN-FAY
<教室 Room & 時間 Time>
Nanda南大N202	F5F6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>
(跨領域)華德福教育學分學程
<必選修 Required or Elective>
教科系111B選修
",-,-,,KEL,KEL 143000,Nanda南大,F5F6,中文 ZH,O 接受 Allowed
"KEL 150000
學習科技概論
Introduction to Learning Technology","<人限 Limit / 新生保留 New Only>
48 / 45
<剩餘名額 Spots AVL / 待亂數 Pending>
45 / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
王淳民	WANG, CHUN-MIN
<教室 Room & 時間 Time>
Nanda南大N202	T3T4R3R4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
本課程上150分鐘，其餘時間由教授視情形彈性運用
<限制 Limitation>
教科系大學部1年級優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>
教育與學習科技(二)/教育與學習科技(一)
<學程 Program>

<必選修 Required or Elective>
教科系111B必修
",-,-,,KEL,KEL 150000,Nanda南大,T3T4R3R4,英文 EN,O 接受 Allowed
"KEL 160000
教育概論
Foundation of Education","<人限 Limit / 新生保留 New Only>
48 / 45
<剩餘名額 Spots AVL / 待亂數 Pending>
45 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
楊慧琪	YANG, HUEI-CHI
<教室 Room & 時間 Time>
Nanda南大2204	M7M8M9
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
教科系大學部1年級優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>
教育與學習科技(二)/教育與學習科技(一)
<學程 Program>
(跨領域)教育知能學分學程
<必選修 Required or Elective>
教科系111B必修
",-,-,,KEL,KEL 160000,Nanda南大,M7M8M9,中文 ZH,O 接受 Allowed
"KEL 180100
數學
Mathematics","<人限 Limit / 新生保留 New Only>
50 / 45
<剩餘名額 Spots AVL / 待亂數 Pending>
48 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
林勇吉	LIN, YUNG-CHI
<教室 Room & 時間 Time>
Nanda南大9313	F3F4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
師資生必選，國民小學數學教材教法先修課程
<限制 Limitation>
教科系1年級優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
教科系111B選修
",-,-,,KEL,KEL 180100,Nanda南大,F3F4,中文 ZH,O 接受 Allowed
"KEL 182000
英語
English","<人限 Limit / 新生保留 New Only>
48 / 45
<剩餘名額 Spots AVL / 待亂數 Pending>
45 / -
<學分數 Credit unit>
2
<授課語言 Language>
英文 EN
<教師 Instructor>
余立棠	YU, LI-TANG
<教室 Room & 時間 Time>
Nanda南大N204	W5W6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
108學年度以後取得師資生資格者必選，Teacher's Education program, Teaching children English, (activity
<限制 Limitation>
教科系大學部1年級優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
教科系111B選修
",-,-,,KEL,KEL 182000,Nanda南大,W5W6,英文 EN,O 接受 Allowed
